source_id,parallax,parallax_error,phot_g_mean_mag,bp_rp,ra,ra_error
6002807341299977216,168.9965073189456,0.027027713,8.2741785,2.4276128,233.0469274248337,0.021405336
4293315765165489536,168.95370741857366,0.0668329,14.3032875,4.971408,289.2373736967538,0.058634024
425040000962559616,168.83216034019418,0.1663396,3.3200667,0.8868861,12.285227381524425,0.09514021
425040000962497792,168.71856118825883,0.021581342,6.762044,1.7540107,12.281184764215306,0.012635521
4109030160308317312,168.13027793748972,0.10807573,4.828591,1.0597496,258.83511696459266,0.08716705
4109030160308320128,168.00307885629599,0.13433942,4.831335,1.0583043,258.83412017812816,0.09748027
4109034455276324608,167.9616795430231,0.031054644,5.889863,1.4148359,259.05329410009625,0.026496917
3136952686035250688,166.97689652666736,0.034340866,9.692206,2.997038,116.1658359308822,0.030245641
6697578465310949376,166.3272042796776,0.106505066,5.033037,1.101397,302.8022690433109,0.08532555
4847957293278177024,165.5242095575573,0.07836173,4.063915,0.9325981,50.00034361894219,0.06373573
946632924007399936,165.2146994337292,0.06364261,9.934659,3.105956,107.50514340448903,0.05739469
6427464123776727168,163.9544145383167,0.12218077,3.3641381,1.0192785,302.19503988923026,0.05416815
2572901021957789568,163.44784569658697,0.4628947,19.461197,3.4663029,24.24124978791965,0.3991859
6673000841376349696,162.2171000791857,0.022484917,7.2426615,1.9117098,303.4773905559996,0.016657144
1638979384378696704,160.99524492008814,0.011894624,13.778201,1.0028296,267.01612290514834,0.011553451
6324325225803432320,159.9225477824956,0.054619387,9.894982,2.9232502,218.56843175696892,0.036605746
2824770686019004032,159.90846046252173,0.051349618,10.828941,3.174079,352.9716753030632,0.04270617
2824770686019003904,159.66339203721853,0.03412789,9.043998,2.6609464,352.97012375450475,0.027961435
6322070093095493504,158.71827296463243,0.030101538,9.421787,2.5615683,229.85630133329227,0.026961956
1022456139210632064,157.88793077923938,0.019652834,6.976026,1.8173037,138.5835616152243,0.015589127
1022456104850892928,157.8824911260602,0.021135049,7.054455,1.8464499,138.5913117966687,0.01562361
685103912857072640,157.26857654561297,0.053540938,13.413064,4.3995686,135.09564332221345,0.04708586
1267906854386665088,155.77582970512213,0.7557141,20.274647,3.2822914,225.8321422585927,0.4378627
4860376345833699840,155.59821311519502,0.052201733,15.439572,5.057251,54.898570206777336,0.037494194
3022956969731332096,155.23734721807887,0.01745606,14.236672,1.1336575,88.79209555773647,0.01484643
3907283967108054528,154.69993660722557,0.044472538,11.926109,3.5332613,184.74174734459442,0.03972411
1428427236986209024,154.35026839246862,0.01610215,9.139769,2.2954597,246.35588833281682,0.0148467645
4339417394313320192,153.96586519953095,0.057011306,13.813289,4.7289762,253.89324627148858,0.044783093
4339465360510320128,153.87539543012036,0.047417864,10.444497,2.7784386,253.85142032580904,0.038644474
5243594081269535872,153.75934537322692,0.02489855,11.133258,3.1541195,145.69216012443803,0.022829989
2009481748875806976,152.86400389732427,0.049440492,5.2318964,1.2163415,348.33773395483047,0.036793772
6153483658836320384,150.07810926426842,0.032217305,11.226226,3.0590277,189.70080543573764,0.027737042
3988987164339438208,148.19855031056267,0.02533127,8.977005,2.4295382,165.0156786023955,0.021912998
1237090738916392832,148.17931678941665,0.054625016,6.4300914,1.5178809,222.8466426652314,0.023990432
1237090738916392704,148.06949945238355,0.13173045,4.4804826,0.92511153,222.8480514738455,0.087588266
3098328182579892096,147.72184850183513,0.094956644,11.397289,2.992114,122.99468256110134,0.07959164
1784473016438653056,147.4957775212429,0.025748886,9.108492,2.6544762,322.40807988216517,0.020545298
2019802555283940608,146.4067299939191,1.2000669,20.63769,3.4787922,292.17175325969595,0.4845848
5153091836072107136,145.69218853775283,0.024446325,10.058402,2.590352,45.462424511757,0.01709052
2828928008202069376,145.62341010499722,0.025450103,7.795021,2.1508222,344.1402217312129,0.021951057
3864615459886222464,143.53906190611502,0.028598778,10.290781,2.8693,162.7129640681676,0.022678496
3855208897392952192,142.09514314210975,0.021169754,8.675959,2.2955694,157.22878342623204,0.019749735
2195886971653527168,142.054284613815,0.016025284,7.756715,2.0436773,313.3324563031005,0.014660017
1952802469918554368,141.89460573855888,0.021211391,10.830858,2.814188,326.5928819418585,0.012874576
6224387727748521344,141.7891196305653,0.061730128,14.061078,4.7689047,224.1569594505724,0.05747713
4780100658292046592,140.69606047638192,0.021376973,11.902864,3.2036524,62.61100025779547,0.02012137
2640434056928150400,139.33889353237683,0.04413923,12.623748,3.7062197,353.7970694377148,0.039938845
18565464288396416,138.4370910355932,0.041985847,10.333128,2.8553162,39.07167733324421,0.035586603
19316224572460416,138.34000380964673,0.31773403,5.4983196,1.1986432,39.02838450657828,0.3217272
5753687109122994048,138.31472927732594,0.21448307,,,128.9248121022928,0.15826875
2595284016771502080,138.2280013262178,0.048167944,11.550707,3.3034801,335.78059284429975,0.037086185
5975663354131618304,138.0662741149332,0.028331729,9.386162,2.2938309,259.75125274377365,0.020031165
3426333598021539840,138.0615808560256,0.5184914,19.520273,4.24745,91.91027346627297,0.43209976
6306068659857135232,134.94740215429607,0.26107797,17.951569,4.8324833,226.94794579637428,0.1966968
2552925644460225152,134.49484768931154,0.057815686,5.467689,1.1095943,12.099107075154986,0.052565947
4683897617110115200,133.71940556671353,0.27199635,2.6807318,0.92413735,6.482504988433097,0.24859226
